,listing_id,travel_score
625,Rome1265506,5.0
626,Rome12673678,2.0
627,Rome12679300,3.0
628,Rome1269785,2.0
629,Rome12697978,1.0
630,Rome12700107,2.0
631,Rome12703844,1.0
632,Rome12709462,3.0
633,Rome12718022,1.0
634,Rome12719207,5.0
635,Rome1272692,5.0
636,Rome1273143,1.0
637,Rome1274186,5.0
638,Rome12746971,5.0
639,Rome1275095,2.0
640,Rome12770024,4.0
641,Rome12786171,5.0
642,Rome12786585,2.0
643,Rome12788911,3.0
644,Rome12792721,1.0
645,Rome12803084,5.0
646,Rome12805494,3.0
647,Rome12807043,3.0
648,Rome12820052,5.0
649,Rome12822525,4.0
650,Rome12839010,2.0
651,Rome12842545,2.0
652,Rome12858193,1.0
653,Rome1286346,2.0
654,Rome12864243,2.0
655,Rome12866064,2.0
656,Rome12871422,2.0
657,Rome12881643,5.0
658,Rome12887333,4.0
659,Rome12887800,4.0
660,Rome12894768,2.0
661,Rome12895805,2.0
662,Rome12899923,4.0
663,Rome12902883,5.0
664,Rome12910395,5.0
665,Rome12913021,5.0
666,Rome12914938,5.0
667,Rome12924035,2.0
668,Rome12929497,2.0
669,Rome12931011,5.0
670,Rome12940687,1.0
671,Rome12941137,5.0
672,Rome12948769,4.0
673,Rome12977539,5.0
674,Rome12979456,5.0
675,Rome12993646,1.0
676,Rome12994318,2.0
677,Rome1299563,2.0
678,Rome12999849,3.0
679,Rome13015523,1.0
680,Rome13023629,1.0
681,Rome13027356,4.0
682,Rome13035008,4.0
683,Rome13037687,2.0
684,Rome13042909,2.0
685,Rome13051508,1.0
686,Rome13068409,1.0
687,Rome13074739,5.0
688,Rome13077287,5.0
689,Rome13078531,1.0
690,Rome1308906,3.0
691,Rome13093924,2.0
692,Rome13095290,2.0
693,Rome13099942,5.0
694,Rome13103128,4.0
695,Rome1310765,5.0
696,Rome13108092,4.0
697,Rome13111518,3.0
698,Rome13119711,4.0
699,Rome131221,4.0
700,Rome13128407,5.0
701,Rome13137243,4.0
702,Rome1314529,4.0
703,Rome13148815,5.0
704,Rome13166174,2.0
705,Rome13168282,3.0
706,Rome13168328,3.0
707,Rome13168347,5.0
708,Rome13179090,2.0
709,Rome13182399,3.0
710,Rome1318455,4.0
711,Rome13193957,1.0
712,Rome13194514,4.0
713,Rome13212139,5.0
714,Rome13212981,1.0
715,Rome13216962,2.0
716,Rome13217552,1.0
717,Rome13234232,5.0
718,Rome13236012,2.0
719,Rome13243277,4.0
720,Rome13243839,5.0
721,Rome13245084,5.0
722,Rome13246446,5.0
723,Rome1325114,5.0
724,Rome13255922,1.0
725,Rome1325688,3.0
726,Rome1325870,1.0
727,Rome13263333,1.0
728,Rome13268790,5.0
729,Rome13270622,5.0
730,Rome13273037,2.0
731,Rome13280045,5.0
732,Rome13288292,3.0
733,Rome13288348,1.0
734,Rome13298740,2.0
735,Rome13307723,2.0
736,Rome13311024,1.0
737,Rome13320592,2.0
738,Rome13328853,1.0
739,Rome13329014,5.0
740,Rome13329136,5.0
741,Rome1333060,1.0
742,Rome13336675,5.0
743,Rome13337303,1.0
744,Rome13350129,2.0
745,Rome13356667,5.0
746,Rome13358081,1.0
747,Rome1336228,5.0
748,Rome1337663,4.0
749,Rome13392720,3.0
750,Rome13394871,1.0
751,Rome13403880,5.0
752,Rome13412339,2.0
753,Rome13414269,4.0
754,Rome13414622,5.0
755,Rome13428177,5.0
756,Rome13431551,2.0
757,Rome13439007,5.0
758,Rome1344535,3.0
759,Rome13459723,5.0
760,Rome1346899,2.0
761,Rome1347855,2.0
762,Rome13484979,1.0
763,Rome13490877,2.0
764,Rome13499230,5.0
765,Rome13499700,2.0
766,Rome1350044,2.0
767,Rome13500980,4.0
768,Rome13505513,3.0
769,Rome13526809,4.0
770,Rome13526887,5.0
771,Rome13539328,4.0
772,Rome13540708,1.0
773,Rome13542880,2.0
774,Rome13546078,2.0
775,Rome13546544,5.0
776,Rome13546840,5.0
777,Rome13551727,5.0
778,Rome1356223,5.0
779,Rome13569812,3.0
780,Rome1357193,2.0
781,Rome13576016,5.0
782,Rome13579957,5.0
783,Rome13579969,5.0
784,Rome13584662,5.0
785,Rome13586354,1.0
786,Rome1359379,2.0
787,Rome13596204,5.0
788,Rome13613280,5.0
789,Rome1361769,5.0
790,Rome13617745,5.0
791,Rome13632970,5.0
792,Rome13635904,3.0
793,Rome13636223,5.0
794,Rome13636386,5.0
795,Rome1363642,1.0
796,Rome13647867,1.0
797,Rome13656242,5.0
798,Rome13663339,2.0
